27-8-2013 11:3:28.749	I : Interface: D:\JSW-SMS-3\SMC\source\TELCOM\TELCOM_IN\TELCOM_IN_Frame\Telcom_In.xml;  FILE: .\Form1.cpp; FUNCTION: simulator::Form1::loadInterface; LINE: 1157; .NET Output: ->Int32 loadInterface(System.String)->Void loadInterfaces()->Void initViewComponent()
27-8-2013 11:3:29.733	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.733	I : Telcom_In->LFL240 LF Level 1Parameter; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.749	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.749	I : Telcom_In->LFL260 Material Handling Report; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.764	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.764	I : Telcom_In->LFL261 Material Availability; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.764	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.764	I : Telcom_In->LFL270 Liquid Material Handling Report; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.764	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.764	I : Telcom_In->LFL281 Treatment Steps; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.780	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.780	I : Telcom_In->L2SY00 For acknowledge, send to SCY; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.780	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.780	I : Telcom_In->SYL291 Watchdog to Level 2; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.780	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.780	I : Telcom_In->SYL292 Scrap Container Loading Results; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.780	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.796	I : Telcom_In->SYL293 Request for Download of Scrap Loading Instructions; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.796	I : Verctor - list of telegram (re)buildet.; FILE: ctlgcontainer.h; FUNCTION: BuildIndex; LINE: 175
27-8-2013 11:3:29.796	I : Telcom_In->SYL295 Request for Download of Available Scrap Materials; FILE: cxmltlgprototypereader.cpp; FUNCTION: readOneTelegram; LINE: 219
27-8-2013 11:3:29.827	I :      99  Telegrams found;  FILE: .\Form1.cpp; FUNCTION: simulator::Form1::loadInterface; LINE: 1173; .NET Output: ->Int32 loadInterface(System.String)->Void loadInterfaces()->Void initViewComponent()
27-8-2013 11:3:29.843	I : All telegram objects removed.; FILE: ctlgcontainer.h; FUNCTION: freeTlg; LINE: 161
27-8-2013 11:3:39.140	I : Client IPEndPoint created;  FILE: .\CSocketClient.cpp; FUNCTION: CSocketClient::buildConnection; LINE: 35; .NET Output: ->Int32 buildConnection(System.String, Int32)->Int32 buildConnAsClient()->Int32 buildConnection(Int32)
27-8-2013 11:3:39.171	I : Receive thread (checks server connection) started;  FILE: .\CInterSenderManager.cpp; FUNCTION: CInterSenderManager::InvokeReceiveThread; LINE: 93; .NET Output: ->Void InvokeReceiveThread(Boolean)->Int32 buildConnAsClient()->Int32 buildConnection(Int32)
27-8-2013 11:3:39.187	I : Connecting to: IP-Addres: 10.182.50.108 Port: 18510;  FILE: .\CSocketConnectionForm.cpp; FUNCTION: simulator::CSocketConnectionForm::OnClickButtConnection; LINE: 131; .NET Output: ->Void OnClickButtConnection(System.Object, System.EventArgs)->Void OnClick(System.EventArgs)->Void OnClick(System.EventArgs)
27-8-2013 11:3:39.218	I : Start thread for waiting connection;  FILE: .\CSocketClient.cpp; FUNCTION: CSocketClient::waitingForConnection; LINE: 66; .NET Output: ->Void waitingForConnection(Int32)->Void waitingForConnection()->Void OnClickButtConnection(System.Object, System.EventArgs)
27-8-2013 11:3:39.249	I : Client connected;  FILE: .\CSocketClient.cpp; FUNCTION: CSocketClient::waiting; LINE: 102; .NET Output: ->Void waiting()->Void ThreadStart_Context(System.Object)->Void Run(System.Threading.ExecutionContext, System.Threading.ContextCallback, System.Object)
27-8-2013 11:3:43.749	I : Load:  D:\JSW-SMS-3\SMC\source\Tools\Simulator\Simulator\Executable\HMDS.szn;  FILE: .\CSenderForm.cpp; FUNCTION: simulator::CSenderForm::loadSzenarium; LINE: 507; .NET Output: ->Void loadSzenarium(System.String)->Void OnMenuFileSzenOpenClick(System.Object, System.EventArgs)->Void OnClick(System.EventArgs)
27-8-2013 11:3:43.843	I : All telegrams in szenario removed;  FILE: .\CSzenarium.cpp; FUNCTION: CSzenarium::clearSzenarium; LINE: 562; .NET Output: ->Void clearSzenarium()->Void loadSzenarium(System.String, System.Collections.ArrayList)->Void loadSzenarium(System.String)
27-8-2013 11:3:51.531	I : Send Tel: 70|1006|1|1|2013|8|20|10|30|45|0|0|126|01|-1|-1|-1|-1|-1|;  FILE: .\CSendItemsServer.cpp; FUNCTION: CSendItemsServer::sendSzenItem; LINE: 171; .NET Output: ->Void sendSzenItem(CInterSenderManager, CSzenItem)->Void sendOneTelegram()->Void ThreadStart_Context(System.Object)
27-8-2013 11:37:4.137	I : Send Tel: 70|1006|1|1|2013|8|20|10|30|45|0|0|128|01|-1|-1|-1|-1|-1|;  FILE: .\CSendItemsServer.cpp; FUNCTION: CSendItemsServer::sendSzenItem; LINE: 171; .NET Output: ->Void sendSzenItem(CInterSenderManager, CSzenItem)->Void sendOneTelegram()->Void ThreadStart_Context(System.Object)
27-8-2013 14:5:6.879	I : Send Tel: 70|1006|1|1|2013|8|20|10|30|45|0|0|128|01|-1|-1|-1|-1|-1|;  FILE: .\CSendItemsServer.cpp; FUNCTION: CSendItemsServer::sendSzenItem; LINE: 171; .NET Output: ->Void sendSzenItem(CInterSenderManager, CSzenItem)->Void sendOneTelegram()->Void ThreadStart_Context(System.Object)
27-8-2013 14:5:12.316	I : Send Tel: 70|1006|1|1|2013|8|20|10|30|45|0|0|128|01|-1|-1|-1|-1|-1|;  FILE: .\CSendItemsServer.cpp; FUNCTION: CSendItemsServer::sendSzenItem; LINE: 171; .NET Output: ->Void sendSzenItem(CInterSenderManager, CSzenItem)->Void sendOneTelegram()->Void ThreadStart_Context(System.Object)
27-8-2013 14:36:20.288	I : Send Tel: 70|1006|1|1|2013|8|20|10|30|45|0|0|128|01|-1|-1|-1|-1|-1|;  FILE: .\CSendItemsServer.cpp; FUNCTION: CSendItemsServer::sendSzenItem; LINE: 171; .NET Output: ->Void sendSzenItem(CInterSenderManager, CSzenItem)->Void sendOneTelegram()->Void ThreadStart_Context(System.Object)
27-8-2013 15:55:10.235	I : Send Tel: 70|1006|1|1|2013|8|20|10|30|45|0|0|128|01|-1|-1|-1|-1|-1|;  FILE: .\CSendItemsServer.cpp; FUNCTION: CSendItemsServer::sendSzenItem; LINE: 171; .NET Output: ->Void sendSzenItem(CInterSenderManager, CSzenItem)->Void sendOneTelegram()->Void ThreadStart_Context(System.Object)
27-8-2013 15:56:5.392	I : Send Tel: 70|1006|1|1|2013|8|20|10|30|45|0|0|129|01|-1|-1|-1|-1|-1|;  FILE: .\CSendItemsServer.cpp; FUNCTION: CSendItemsServer::sendSzenItem; LINE: 171; .NET Output: ->Void sendSzenItem(CInterSenderManager, CSzenItem)->Void sendOneTelegram()->Void ThreadStart_Context(System.Object)
27-8-2013 16:15:26.118	I : Send Tel: 70|1006|1|1|2013|8|20|10|30|45|0|0|129|01|-1|-1|-1|-1|-1|;  FILE: .\CSendItemsServer.cpp; FUNCTION: CSendItemsServer::sendSzenItem; LINE: 171; .NET Output: ->Void sendSzenItem(CInterSenderManager, CSzenItem)->Void sendOneTelegram()->Void ThreadStart_Context(System.Object)
27-8-2013 17:28:3.256	I : Closed Connection: IP - Address: 10.182.50.108Port: 18510;  FILE: .\CSocketConnectionForm.cpp; FUNCTION: simulator::CSocketConnectionForm::OnClickButtDisconnect; LINE: 230; .NET Output: ->Void OnClickButtDisconnect(System.Object, System.EventArgs)->Void OnClick(System.EventArgs)->Void OnClick(System.EventArgs)
27-8-2013 17:28:3.537	I : Connection disconnected;  FILE: .\CSocketConnection.cpp; FUNCTION: CSocketConnection::disConnection; LINE: 168; .NET Output: ->Boolean disConnection()->Boolean disConnection()->Boolean disConnect()
27-8-2013 17:28:3.553	I : Receive thread (checks server connection) aborted;  FILE: .\CInterSenderManager.cpp; FUNCTION: CInterSenderManager::InvokeReceiveThread; LINE: 101; .NET Output: ->Void InvokeReceiveThread(Boolean)->Boolean disConnect()->Boolean disConnect(Int32)
27-8-2013 17:28:3.568	I : DisConnect was called!;  FILE: .\CInterConnection.cpp; FUNCTION: CInterConnection::disConnect; LINE: 199; .NET Output: ->Boolean disConnect()->Boolean disConnect(Int32)->Void OnClickButtDisconnect(System.Object, System.EventArgs)
27-8-2013 17:28:7.678	I : DisConnect was called!;  FILE: .\CInterConnection.cpp; FUNCTION: CInterConnection::disConnect; LINE: 199; .NET Output: ->Boolean disConnect()->Void disConnectAll()->Void disSocketConnection()
27-8-2013 17:28:10.475	I : All telegrams in szenario removed;  FILE: .\CSzenarium.cpp; FUNCTION: CSzenarium::clearSzenarium; LINE: 562; .NET Output: ->Void clearSzenarium()->Void updateSzenFile()->Void updateSzenFile()
